time:115, state_pair:((21, 18), (20, 29)), next_state:(21, 18), n:15, dest:18, env.nlinks[n]:3, action:2
time:116, state_pair:((21, 18), (20, 29)), current_state:(20, 29), n:20, dest:29, env.nlinks[n]:4, action:2
time:116, state_pair:((21, 29), (21, 23)), next_state:(21, 29), n:20, dest:29, env.nlinks[n]:4, action:2
time:117, state_pair:((21, 29), (21, 23)), current_state:(21, 23), n:21, dest:23, env.nlinks[n]:4, action:2
time:117, state_pair:((22, 23), (24, 20)), next_state:(22, 23), n:21, dest:23, env.nlinks[n]:4, action:2
time:118, state_pair:((22, 23), (24, 20)), current_state:(24, 20), n:24, dest:20, env.nlinks[n]:2, action:0
time:118, state_pair:((18, 20), (21, 18)), next_state:(18, 20), n:24, dest:20, env.nlinks[n]:2, action:0
time:119, state_pair:((18, 20), (21, 18)), current_state:(21, 18), n:21, dest:18, env.nlinks[n]:4, action:0
time:119, state_pair:((20, 18), (21, 29)), next_state:(20, 18), n:21, dest:18, env.nlinks[n]:4, action:0
time:120, state_pair:((20, 18), (21, 29)), current_state:(21, 29), n:21, dest:29, env.nlinks[n]:4, action:2
time:120, state_pair:((22, 29), (18, 20)), next_state:(22, 29), n:21, dest:29, env.nlinks[n]:4, action:2
time:121, state_pair:((22, 29), (18, 20)), current_state:(18, 20), n:18, dest:20, env.nlinks[n]:3, action:1
time:121, state_pair:((19, 20), (20, 18)), next_state:(19, 20), n:18, dest:20, env.nlinks[n]:3, action:1
time:122, state_pair:((19, 20), (20, 18)), current_state:(20, 18), n:20, dest:18, env.nlinks[n]:4, action:0
